"disease","mmwr_year","mmwr_week","current_week","cummulative","date"
"Other Serogroup",2015,46,0,18,"2015-11-15"
"ACWY Serogroups",2015,46,0,65,"2015-11-15"
"Serogroup B",2015,46,0,72,"2015-11-15"
"Unknown Serogroup",2015,46,3,156,"2015-11-15"
"Serogroup B",2015,47,0,74,"2015-11-22"
"ACWY Serogroups",2015,47,1,69,"2015-11-22"
"Other Serogroup",2015,47,0,18,"2015-11-22"
"Unknown Serogroup",2015,47,1,154,"2015-11-22"
"Serogroup B",2015,48,1,76,"2015-11-29"
"ACWY Serogroups",2015,48,2,72,"2015-11-29"
"Unknown Serogroup",2015,48,2,158,"2015-11-29"
"Other Serogroup",2015,48,0,18,"2015-11-29"
"Unknown Serogroup",2015,49,1,161,"2015-12-06"
"Other Serogroup",2015,49,0,18,"2015-12-06"
"ACWY Serogroups",2015,49,0,73,"2015-12-06"
"Serogroup B",2015,49,0,76,"2015-12-06"
"ACWY Serogroups",2015,50,0,76,"2015-12-13"
"Other Serogroup",2015,50,0,18,"2015-12-13"
"Unknown Serogroup",2015,50,2,164,"2015-12-13"
"Serogroup B",2015,50,0,79,"2015-12-13"
"Serogroup B",2015,51,1,80,"2015-12-20"
"Unknown Serogroup",2015,51,0,164,"2015-12-20"
"Other Serogroup",2015,51,0,18,"2015-12-20"
"ACWY Serogroups",2015,51,0,79,"2015-12-20"
"Serogroup B",2016,5,0,5,"2016-01-31"
"Other Serogroup",2016,41,0,13,"2016-10-09"
"ACWY Serogroups",2016,45,0,77,"2016-11-06"
"Serogroup B",2016,36,0,51,"2016-09-04"
"ACWY Serogroups",2016,47,0,80,"2016-11-20"
"ACWY Serogroups",2016,1,0,0,"2016-01-03"
"Other Serogroup",2016,29,0,9,"2016-07-17"
"ACWY Serogroups",2016,34,1,59,"2016-08-21"
"Other Serogroup",2016,23,1,7,"2016-06-05"
"Other Serogroup",2016,43,0,13,"2016-10-23"
"Other Serogroup",2016,9,1,1,"2016-02-28"
"ACWY Serogroups",2016,28,0,58,"2016-07-10"
"Unknown Serogroup",2016,40,1,137,"2016-10-02"
"Other Serogroup",2016,6,0,0,"2016-02-07"
"Serogroup B",2016,19,0,28,"2016-05-08"
"Serogroup B",2016,46,0,59,"2016-11-13"
"Serogroup B",2016,3,1,2,"2016-01-17"
"ACWY Serogroups",2016,18,0,32,"2016-05-01"
"Other Serogroup",2016,25,0,7,"2016-06-19"
"ACWY Serogroups",2016,22,0,43,"2016-05-29"
"Other Serogroup",2016,19,0,4,"2016-05-08"
"ACWY Serogroups",2016,7,0,9,"2016-02-14"
"Serogroup B",2016,37,0,51,"2016-09-11"
"Unknown Serogroup",2016,27,2,97,"2016-07-03"
"Other Serogroup",2016,15,0,2,"2016-04-10"
"Serogroup B",2016,17,0,22,"2016-04-24"
"Unknown Serogroup",2016,24,4,91,"2016-06-12"
"ACWY Serogroups",2016,38,0,65,"2016-09-18"
"Unknown Serogroup",2016,35,3,129,"2016-08-28"
"Other Serogroup",2016,12,0,2,"2016-03-20"
"Other Serogroup",2016,20,0,5,"2016-05-15"
"Unknown Serogroup",2016,44,0,142,"2016-10-30"
"Serogroup B",2016,45,0,58,"2016-11-06"
"Other Serogroup",2016,3,0,0,"2016-01-17"
"Unknown Serogroup",2016,25,0,91,"2016-06-19"
"ACWY Serogroups",2016,19,0,36,"2016-05-08"
"ACWY Serogroups",2016,8,1,14,"2016-02-21"
"Other Serogroup",2016,27,1,9,"2016-07-03"
"Serogroup B",2016,30,0,43,"2016-07-24"
"ACWY Serogroups",2016,39,0,66,"2016-09-25"
"ACWY Serogroups",2016,32,0,57,"2016-08-07"
"Serogroup B",2016,7,0,6,"2016-02-14"
"Other Serogroup",2016,46,0,13,"2016-11-13"
"ACWY Serogroups",2016,36,0,63,"2016-09-04"
"Unknown Serogroup",2016,26,3,95,"2016-06-26"
"ACWY Serogroups",2016,11,2,19,"2016-03-13"
"Unknown Serogroup",2016,36,0,127,"2016-09-04"
"Other Serogroup",2016,1,0,0,"2016-01-03"
"Serogroup B",2016,31,0,44,"2016-07-31"
"Serogroup B",2016,21,0,32,"2016-05-22"
"Other Serogroup",2016,37,1,13,"2016-09-11"
"Unknown Serogroup",2016,8,0,20,"2016-02-21"
"Unknown Serogroup",2016,45,3,144,"2016-11-06"
"ACWY Serogroups",2016,31,0,57,"2016-07-31"
"Other Serogroup",2016,47,0,13,"2016-11-20"
"Other Serogroup",2016,38,0,12,"2016-09-18"
"Unknown Serogroup",2016,10,1,28,"2016-03-06"
"ACWY Serogroups",2016,23,0,48,"2016-06-05"
"ACWY Serogroups",2016,42,0,73,"2016-10-16"
"Serogroup B",2016,40,0,52,"2016-10-02"
"Serogroup B",2016,25,0,37,"2016-06-19"
"Unknown Serogroup",2016,41,2,142,"2016-10-09"
"Other Serogroup",2016,34,0,12,"2016-08-21"
"Unknown Serogroup",2016,31,2,118,"2016-07-31"
