"epiweek","epiyear","Meningococcal disease, All serogroups cummulative current year","Meningococcal disease, Serogroups ACWY cummulative current year","Meningococcal disease, Serogroup B cummulative for current year","Meningococcal disease, Other serogroups cummulative current year","Meningococcal disease, Unknown serogroup cummulative current year","Meningococcal disease, All serogroups incidence current week","Meningococcal disease, Unknown serogroup incidence current week","Meningococcal disease, Serogroups ACWY incidence current week","Meningococcal disease, Serogroup B incidence current week","Meningococcal disease, Other serogroups incidence current week","date"
35,1998,1911,NA,NA,NA,NA,46,NA,NA,NA,NA,"1998-08-30"
36,1998,1939,NA,NA,NA,NA,28,NA,NA,NA,NA,"1998-09-06"
37,1998,1963,NA,NA,NA,NA,24,NA,NA,NA,NA,"1998-09-13"
38,1998,2005,NA,NA,NA,NA,42,NA,NA,NA,NA,"1998-09-20"
39,1998,2045,NA,NA,NA,NA,40,NA,NA,NA,NA,"1998-09-27"
40,1998,2077,NA,NA,NA,NA,32,NA,NA,NA,NA,"1998-10-04"
41,1998,2112,NA,NA,NA,NA,35,NA,NA,NA,NA,"1998-10-11"
42,1998,2161,NA,NA,NA,NA,49,NA,NA,NA,NA,"1998-10-18"
43,1998,2200,NA,NA,NA,NA,39,NA,NA,NA,NA,"1998-10-25"
44,1998,2260,NA,NA,NA,NA,60,NA,NA,NA,NA,"1998-11-01"
45,1998,2306,NA,NA,NA,NA,46,NA,NA,NA,NA,"1998-11-08"
46,1998,2335,NA,NA,NA,NA,29,NA,NA,NA,NA,"1998-11-15"
47,1998,2375,NA,NA,NA,NA,40,NA,NA,NA,NA,"1998-11-22"
48,1998,2418,NA,NA,NA,NA,43,NA,NA,NA,NA,"1998-11-29"
49,1998,2488,NA,NA,NA,NA,70,NA,NA,NA,NA,"1998-12-06"
50,1998,2538,NA,NA,NA,NA,50,NA,NA,NA,NA,"1998-12-13"
51,1998,2585,NA,NA,NA,NA,47,NA,NA,NA,NA,"1998-12-20"
52,1998,2633,NA,NA,NA,NA,48,NA,NA,NA,NA,"1998-12-27"
1,1999,17,NA,NA,NA,NA,17,NA,NA,NA,NA,"1999-01-03"
2,1999,41,NA,NA,NA,NA,24,NA,NA,NA,NA,"1999-01-10"
3,1999,73,NA,NA,NA,NA,32,NA,NA,NA,NA,"1999-01-17"
4,1999,113,NA,NA,NA,NA,40,NA,NA,NA,NA,"1999-01-24"
5,1999,178,NA,NA,NA,NA,65,NA,NA,NA,NA,"1999-01-31"
6,1999,213,NA,NA,NA,NA,35,NA,NA,NA,NA,"1999-02-07"
7,1999,246,NA,NA,NA,NA,33,NA,NA,NA,NA,"1999-02-14"
8,1999,318,NA,NA,NA,NA,72,NA,NA,NA,NA,"1999-02-21"
9,1999,399,NA,NA,NA,NA,81,NA,NA,NA,NA,"1999-02-28"
10,1999,474,NA,NA,NA,NA,75,NA,NA,NA,NA,"1999-03-07"
11,1999,539,NA,NA,NA,NA,65,NA,NA,NA,NA,"1999-03-14"
12,1999,608,NA,NA,NA,NA,69,NA,NA,NA,NA,"1999-03-21"
13,1999,667,NA,NA,NA,NA,59,NA,NA,NA,NA,"1999-03-28"
14,1999,725,NA,NA,NA,NA,58,NA,NA,NA,NA,"1999-04-04"
15,1999,775,NA,NA,NA,NA,50,NA,NA,NA,NA,"1999-04-11"
16,1999,833,NA,NA,NA,NA,58,NA,NA,NA,NA,"1999-04-18"
17,1999,893,NA,NA,NA,NA,60,NA,NA,NA,NA,"1999-04-25"
18,1999,945,NA,NA,NA,NA,52,NA,NA,NA,NA,"1999-05-02"
19,1999,985,NA,NA,NA,NA,40,NA,NA,NA,NA,"1999-05-09"
20,1999,1033,NA,NA,NA,NA,48,NA,NA,NA,NA,"1999-05-16"
21,1999,1109,NA,NA,NA,NA,76,NA,NA,NA,NA,"1999-05-23"
22,1999,1158,NA,NA,NA,NA,49,NA,NA,NA,NA,"1999-05-30"
23,1999,1213,NA,NA,NA,NA,55,NA,NA,NA,NA,"1999-06-06"
24,1999,1258,NA,NA,NA,NA,45,NA,NA,NA,NA,"1999-06-13"
25,1999,1301,NA,NA,NA,NA,43,NA,NA,NA,NA,"1999-06-20"
26,1999,1330,NA,NA,NA,NA,29,NA,NA,NA,NA,"1999-06-27"
27,1999,1358,NA,NA,NA,NA,28,NA,NA,NA,NA,"1999-07-04"
28,1999,1416,NA,NA,NA,NA,58,NA,NA,NA,NA,"1999-07-11"
29,1999,1483,NA,NA,NA,NA,67,NA,NA,NA,NA,"1999-07-18"
30,1999,1520,NA,NA,NA,NA,37,NA,NA,NA,NA,"1999-07-25"
31,1999,1565,NA,NA,NA,NA,45,NA,NA,NA,NA,"1999-08-01"
32,1999,1586,NA,NA,NA,NA,21,NA,NA,NA,NA,"1999-08-08"
33,1999,1615,NA,NA,NA,NA,29,NA,NA,NA,NA,"1999-08-15"
34,1999,1654,NA,NA,NA,NA,39,NA,NA,NA,NA,"1999-08-22"
